Supplier,FY,Month,Defect Qty,Received Qty,PPM,Case Count
SAM NEO,FY26,May,22,13473,1632.9,1
SAM NEO,FY26,Jun,11,16521,665.8,0
SAM NEO,FY26,Jul,8,13126,609.5,1
SAM NEO,FY26,Aug,23,13471,1707.4,3
TECHNO ASSOCIATE,FY25,Apr,56,29780,1880.5,5
TECHNO ASSOCIATE,FY25,May,70,28887,2423.2,6
TECHNO ASSOCIATE,FY25,Jun,47,31988,1469.3,9
TECHNO ASSOCIATE,FY25,Jul,30,24499,1224.5,6
TECHNO ASSOCIATE,FY25,Aug,34,26168,1299.3,5
TECHNO ASSOCIATE,FY25,Sep,61,24137,2527.2,1
TECHNO ASSOCIATE,FY25,Oct,6,25345,236.7,1
TECHNO ASSOCIATE,FY25,Nov,84,30312,2771.2,12
TECHNO ASSOCIATE,FY25,Dec,69,30255,2280.6,11
TECHNO ASSOCIATE,FY25,Jan,34,26252,1295.1,4
TECHNO ASSOCIATE,FY25,Feb,61,29471,2069.8,9
TECHNO ASSOCIATE,FY25,Mar,19,29595,642.0,0
TECHNO ASSOCIATE,FY26,Apr,78,26433,2950.9,4
TECHNO ASSOCIATE,FY26,May,73,30768,2372.6,5
TECHNO ASSOCIATE,FY26,Jun,53,28755,1843.2,10
TECHNO ASSOCIATE,FY26,Jul,77,29472,2612.6,12
TECHNO ASSOCIATE,FY26,Aug,7,29234,239.4,0
